project,N,tp,fn,tn,fp,accuracy,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-jexl3-3.2.1-src,2717,2054,18,11,634,0.76,0.863,0.9913,0.0171,0.7626,0.2374,0.6342,0.76,0.1258,0.27,0.51,0.37
commons-rng-1.4-src,1444,940,90,80,334,0.7064,0.816,0.9126,0.1932,0.7133,0.2867,0.5912,0.7151,0.1152,0.27,0.46,0.36
commons-net-3.8.0,3249,2099,52,39,1059,0.658,0.7907,0.9758,0.0355,0.662,0.338,0.5448,0.6555,0.1132,0.32,0.46,0.38
commons-weaver-2.0-src,188,126,1,0,61,0.6702,0.8025,0.9921,0.0,0.6755,0.3245,0.5577,0.6722,0.1125,0.31,0.5,0.39
commons-configuration2-2.8.0-src,1047,678,30,26,313,0.6724,0.7981,0.9576,0.0767,0.6762,0.3238,0.5628,0.6777,0.1096,0.27,0.49,0.36
springside4,2482,1731,76,36,639,0.7119,0.8288,0.9579,0.0533,0.728,0.272,0.6029,0.727,0.109,0.25,0.43,0.35
commons-geometry-1.0-src,3940,2912,89,56,883,0.7533,0.857,0.9703,0.0596,0.7617,0.2383,0.645,0.7669,0.1083,0.3,0.51,0.41
commons-dbutils-1.7,542,439,3,0,100,0.81,0.895,0.9932,0.0,0.8155,0.1845,0.7038,0.8186,0.1062,0.29,0.52,0.44
commons-imaging-1.0-alpha3-src,1916,1328,33,7,548,0.6968,0.8205,0.9758,0.0126,0.7103,0.2897,0.5911,0.7129,0.1057,0.3,0.47,0.39
async-http-client,105,68,3,1,33,0.6571,0.7907,0.9577,0.0294,0.6762,0.3238,0.5544,0.6698,0.1027,0.34,0.51,0.43
commons-vfs-2.9.0,796,546,31,10,209,0.6985,0.8198,0.9463,0.0457,0.7249,0.2751,0.6027,0.7245,0.0958,0.31,0.49,0.4
bcel-6.5.0-src,12684,10097,407,251,1929,0.8158,0.8963,0.9613,0.1151,0.8281,0.1719,0.7213,0.8319,0.0945,0.28,0.49,0.37
commons-jcs3-3.1-src,3903,3422,38,18,425,0.8814,0.9366,0.989,0.0406,0.8865,0.1135,0.7929,0.8829,0.0885,0.3,0.48,0.4
spark,2961,2651,15,15,280,0.9004,0.9473,0.9944,0.0508,0.9004,0.0996,0.8202,0.9002,0.0802,0.33,0.51,0.43
joda-time,16097,14033,320,140,1604,0.8805,0.9358,0.9777,0.0803,0.8917,0.1083,0.8042,0.8899,0.0763,0.25,0.47,0.39
commons-lang3-3.12.0-src,11922,10119,406,83,1314,0.8557,0.9217,0.9614,0.0594,0.8828,0.1172,0.7898,0.8806,0.0659,0.2,0.42,0.31
scribejava,145,82,2,0,61,0.5655,0.7225,0.9762,0.0,0.5793,0.4207,0.5087,0.5757,0.0568,0.3,0.49,0.39
jsoup,7808,7215,110,14,469,0.9258,0.9614,0.985,0.029,0.9381,0.0619,0.8835,0.9379,0.0423,0.08,0.47,0.3
commons-validator-1.7,2463,1874,218,26,345,0.7714,0.8694,0.8958,0.0701,0.8494,0.1506,0.7457,0.8502,0.0257,0.27,0.46,0.36
JSON-java,8655,8445,19,3,188,0.9761,0.9879,0.9978,0.0157,0.9779,0.0221,0.9559,0.9774,0.0202,0.22,0.52,0.43
commons-beanutils-1.9.4,1638,807,138,44,649,0.5195,0.6722,0.854,0.0635,0.5769,0.4231,0.5018,0.5694,0.0177,0.24,0.49,0.32
commons-numbers-1.0-src,38786,38505,38,14,229,0.9931,0.9965,0.999,0.0576,0.9937,0.0063,0.988,0.994,0.0051,0.16,0.32,0.28
http-request,3750,3726,9,0,15,0.9936,0.9968,0.9976,0.0,0.996,0.004,0.9916,0.9958,0.002,0.27,0.49,0.38
commons-pool2-2.11.1-src,3592,2877,663,8,44,0.8032,0.8906,0.8127,0.1538,0.9855,0.0145,0.9736,0.9866,-0.1704,0.21,0.47,0.39
commons-collections4-4.4-src,845,329,391,24,101,0.4178,0.5722,0.4569,0.192,0.8521,0.1479,0.7477,0.8516,-0.3299,0.41,0.47,0.45
all,133675,117103,3200,906,12466,0.8828,0.9373,0.9734,0.0678,0.9,0.1,0.8287,0.9054,0.0541,0.22,0.41,0.33
