project,N,tp,fn,tn,fp,accuracy,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-jexl3-3.2.1-src,2946,2225,24,13,684,0.7597,0.8627,0.9893,0.0187,0.7634,0.2366,0.6397,0.7645,0.12,0.27,0.52,0.38
commons-imaging-1.0-alpha3-src,2858,2246,34,7,571,0.7883,0.8813,0.9851,0.0121,0.7978,0.2022,0.6747,0.7958,0.1136,0.3,0.52,0.44
commons-dbutils-1.7,731,572,5,0,154,0.7825,0.878,0.9913,0.0,0.7893,0.2107,0.6703,0.7909,0.1122,0.31,0.54,0.47
commons-geometry-1.0-src,5438,4056,129,78,1175,0.7602,0.8615,0.9692,0.0623,0.7696,0.2304,0.65,0.7733,0.1102,0.33,0.54,0.46
commons-weaver-2.0-src,232,149,5,4,74,0.6595,0.7905,0.9675,0.0513,0.6638,0.3362,0.5548,0.6629,0.1047,0.34,0.52,0.42
springside4,2590,1770,84,39,697,0.6985,0.8193,0.9547,0.053,0.7158,0.2842,0.5954,0.7181,0.1031,0.25,0.44,0.36
commons-net-3.8.0,3369,2175,58,42,1094,0.6581,0.7906,0.974,0.037,0.6628,0.3372,0.5552,0.6661,0.1029,0.32,0.46,0.38
async-http-client,163,111,5,1,46,0.6871,0.8132,0.9569,0.0213,0.7117,0.2883,0.5883,0.7115,0.0988,0.38,0.55,0.48
commons-configuration2-2.8.0-src,1253,789,56,39,369,0.6608,0.7878,0.9337,0.0956,0.6744,0.3256,0.5644,0.6782,0.0964,0.28,0.52,0.39
commons-jcs3-3.1-src,4562,3873,67,26,596,0.8547,0.9212,0.983,0.0418,0.8637,0.1363,0.7645,0.8638,0.0902,0.32,0.52,0.44
bcel-6.5.0-src,15379,12173,620,295,2291,0.8107,0.8932,0.9515,0.1141,0.8318,0.1682,0.7207,0.8319,0.09,0.28,0.51,0.39
commons-rng-1.4-src,1641,1082,127,80,352,0.7081,0.8188,0.895,0.1852,0.7367,0.2633,0.619,0.7413,0.0891,0.28,0.47,0.38
commons-lang3-3.12.0-src,12118,10274,412,90,1342,0.8553,0.9214,0.9614,0.0628,0.8818,0.1182,0.7925,0.8823,0.0628,0.2,0.43,0.31
commons-vfs-2.9.0,1072,700,80,14,278,0.666,0.7964,0.8974,0.0479,0.7276,0.2724,0.604,0.7279,0.062,0.33,0.52,0.44
joda-time,27480,25386,322,142,1630,0.929,0.963,0.9875,0.0801,0.9355,0.0645,0.8797,0.9357,0.0493,0.29,0.53,0.47
spark,5280,4781,106,30,363,0.9112,0.9532,0.9783,0.0763,0.9256,0.0744,0.8639,0.9265,0.0473,0.36,0.56,0.49
jsoup,8002,7349,135,15,503,0.9203,0.9584,0.982,0.029,0.9353,0.0647,0.8804,0.9361,0.0399,0.08,0.47,0.31
commons-validator-1.7,2616,1991,232,30,363,0.7726,0.87,0.8956,0.0763,0.8498,0.1502,0.7497,0.8528,0.0229,0.28,0.47,0.38
JSON-java,12911,12687,23,3,198,0.9829,0.9914,0.9982,0.0149,0.9844,0.0156,0.9683,0.9839,0.0146,0.23,0.54,0.47
commons-beanutils-1.9.4,1708,860,143,44,661,0.5293,0.6815,0.8574,0.0624,0.5872,0.4128,0.5195,0.5895,0.0098,0.24,0.49,0.33
commons-numbers-1.0-src,39866,39571,46,16,233,0.993,0.9965,0.9988,0.0643,0.9938,0.0062,0.9871,0.9935,0.0059,0.16,0.33,0.28
scribejava,182,91,2,1,88,0.5055,0.6691,0.9785,0.0112,0.511,0.489,0.5027,0.5064,0.0028,0.32,0.53,0.43
http-request,4069,4042,9,0,18,0.9934,0.9967,0.9978,0.0,0.9956,0.0044,0.9912,0.9956,0.0022,0.27,0.49,0.39
commons-pool2-2.11.1-src,11244,10375,784,16,69,0.9241,0.9605,0.9297,0.1882,0.9924,0.0076,0.9844,0.9922,-0.0603,0.41,0.58,0.54
commons-collections4-4.4-src,1389,512,705,30,142,0.3902,0.5473,0.4207,0.1744,0.8762,0.1238,0.7784,0.8729,-0.3882,0.45,0.51,0.5
all,169099,149840,4213,1055,13991,0.8923,0.9427,0.9727,0.0701,0.911,0.089,0.8367,0.9103,0.0556,0.24,0.45,0.38
