project,N,tp,fn,tn,fp,accuracy,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-geometry-1.0-src,5438,4052,133,88,1165,0.7613,0.8619,0.9682,0.0702,0.7696,0.2304,0.6433,0.7685,0.118,0.33,0.49,0.42
commons-dbutils-1.7,731,573,4,0,154,0.7839,0.8788,0.9931,0.0,0.7893,0.2107,0.6701,0.7921,0.1138,0.32,0.49,0.43
springside4,2590,1778,76,46,690,0.7042,0.8228,0.959,0.0625,0.7158,0.2842,0.5919,0.7143,0.1123,0.26,0.38,0.33
commons-jexl3-3.2.1-src,2946,2216,33,14,683,0.757,0.8609,0.9853,0.0201,0.7634,0.2366,0.6448,0.7672,0.1122,0.29,0.46,0.36
commons-net-3.8.0,3369,2172,61,44,1092,0.6578,0.7902,0.9727,0.0387,0.6628,0.3372,0.5468,0.6569,0.111,0.35,0.38,0.36
commons-weaver-2.0-src,232,150,4,4,74,0.6638,0.7937,0.974,0.0513,0.6638,0.3362,0.5567,0.6664,0.1071,0.34,0.46,0.4
commons-imaging-1.0-alpha3-src,2858,2247,33,9,569,0.7894,0.8819,0.9855,0.0156,0.7978,0.2022,0.6825,0.8012,0.1069,0.31,0.48,0.41
async-http-client,163,111,5,1,46,0.6871,0.8132,0.9569,0.0213,0.7117,0.2883,0.5883,0.71,0.0988,0.38,0.5,0.45
commons-configuration2-2.8.0-src,1253,789,56,38,370,0.66,0.7874,0.9337,0.0931,0.6744,0.3256,0.564,0.6757,0.096,0.29,0.45,0.36
commons-jcs3-3.1-src,4562,3883,57,20,602,0.8555,0.9218,0.9855,0.0322,0.8637,0.1363,0.7674,0.8659,0.0881,0.34,0.44,0.39
bcel-6.5.0-src,15379,12149,644,308,2278,0.81,0.8927,0.9497,0.1191,0.8318,0.1682,0.7246,0.8348,0.0854,0.3,0.45,0.37
commons-rng-1.4-src,1641,1053,156,92,340,0.6977,0.8094,0.871,0.213,0.7367,0.2633,0.6148,0.7399,0.0829,0.32,0.41,0.36
commons-vfs-2.9.0,1072,706,74,11,281,0.6688,0.7991,0.9051,0.0377,0.7276,0.2724,0.6069,0.7305,0.0619,0.34,0.46,0.41
commons-lang3-3.12.0-src,12118,10223,463,127,1305,0.8541,0.9204,0.9567,0.0887,0.8818,0.1182,0.794,0.8833,0.0601,0.22,0.36,0.28
joda-time,27480,25397,311,136,1636,0.9291,0.9631,0.9879,0.0767,0.9355,0.0645,0.8795,0.9356,0.0496,0.3,0.49,0.44
spark,5280,4780,107,30,363,0.911,0.9531,0.9781,0.0763,0.9256,0.0744,0.8623,0.9256,0.0487,0.36,0.52,0.46
jsoup,8002,7344,140,15,503,0.9196,0.9581,0.9813,0.029,0.9353,0.0647,0.8763,0.9337,0.0433,0.09,0.43,0.28
commons-validator-1.7,2616,1990,233,32,361,0.7729,0.8701,0.8952,0.0814,0.8498,0.1502,0.7424,0.8484,0.0305,0.3,0.38,0.34
commons-beanutils-1.9.4,1708,861,142,42,663,0.5287,0.6814,0.8584,0.0596,0.5872,0.4128,0.5099,0.5845,0.0188,0.26,0.42,0.31
JSON-java,12911,12687,23,6,195,0.9831,0.9915,0.9982,0.0299,0.9844,0.0156,0.9689,0.9842,0.0142,0.23,0.51,0.44
commons-numbers-1.0-src,39866,39563,54,20,229,0.9929,0.9964,0.9986,0.0803,0.9938,0.0062,0.9879,0.9939,0.005,0.27,0.3,0.29
http-request,4069,4041,10,0,18,0.9931,0.9965,0.9975,0.0,0.9956,0.0044,0.9916,0.9958,0.0015,0.27,0.44,0.36
scribejava,182,91,2,1,88,0.5055,0.6691,0.9785,0.0112,0.511,0.489,0.5047,0.5134,0.0008,0.32,0.49,0.41
commons-pool2-2.11.1-src,11244,10371,788,18,67,0.924,0.9604,0.9294,0.2118,0.9924,0.0076,0.986,0.993,-0.062,0.42,0.54,0.51
commons-collections4-4.4-src,1389,513,704,32,140,0.3924,0.5487,0.4215,0.186,0.8762,0.1238,0.7841,0.8769,-0.3917,0.45,0.46,0.46
all,169099,149740,4313,1134,13912,0.8922,0.9426,0.972,0.0754,0.911,0.089,0.8379,0.911,0.0543,0.28,0.41,0.36
