project,N,tp,fn,tn,fp,accuracy,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
async-http-client,3,3,0,0,0,1.0,1.0,1.0,0.0,1.0,0.0,0.5854,0.7085,0.4146,0.14,0.29,0.24
commons-weaver-2.0-src,22,19,0,1,2,0.9091,0.95,1.0,0.3333,0.8636,0.1364,0.554,0.6644,0.3551,0.19,0.33,0.23
commons-vfs-2.9.0,97,90,1,0,6,0.9278,0.9626,0.989,0.0,0.9381,0.0619,0.6093,0.7321,0.3185,0.21,0.25,0.23
commons-geometry-1.0-src,317,292,9,1,15,0.9243,0.9605,0.9701,0.0625,0.9495,0.0505,0.6444,0.7687,0.2799,0.17,0.3,0.22
commons-net-3.8.0,319,262,18,2,37,0.8276,0.905,0.9357,0.0513,0.8777,0.1223,0.553,0.6624,0.2746,0.21,0.22,0.22
springside4,647,550,12,7,78,0.8609,0.9244,0.9786,0.0824,0.8686,0.1314,0.5907,0.7138,0.2702,0.18,0.24,0.21
scribejava,16,11,0,0,5,0.6875,0.8148,1.0,0.0,0.6875,0.3125,0.4987,0.506,0.1888,0.16,0.3,0.22
commons-jexl3-3.2.1-src,167,137,0,0,30,0.8204,0.9013,1.0,0.0,0.8204,0.1796,0.6402,0.7635,0.1802,0.2,0.31,0.22
bcel-6.5.0-src,1084,926,107,14,37,0.8672,0.9279,0.8964,0.2745,0.953,0.047,0.7215,0.8328,0.1457,0.18,0.3,0.22
commons-imaging-1.0-alpha3-src,108,89,0,0,19,0.8241,0.9036,1.0,0.0,0.8241,0.1759,0.6798,0.7998,0.1443,0.22,0.28,0.24
commons-rng-1.4-src,149,109,13,2,25,0.745,0.8516,0.8934,0.0741,0.8188,0.1812,0.6177,0.7412,0.1273,0.18,0.29,0.21
commons-lang3-3.12.0-src,3910,3490,142,37,241,0.902,0.948,0.9609,0.1331,0.9289,0.0711,0.7929,0.8829,0.1091,0.18,0.27,0.21
commons-validator-1.7,420,350,54,3,13,0.8405,0.9126,0.8663,0.1875,0.9619,0.0381,0.7448,0.8496,0.0957,0.16,0.27,0.2
jsoup,3388,3276,8,2,102,0.9675,0.9835,0.9976,0.0192,0.9693,0.0307,0.8801,0.936,0.0874,0.06,0.39,0.22
commons-jcs3-3.1-src,200,165,12,4,19,0.845,0.9141,0.9322,0.1739,0.885,0.115,0.7645,0.8634,0.0805,0.18,0.28,0.21
commons-configuration2-2.8.0-src,167,102,6,4,55,0.6347,0.7698,0.9444,0.0678,0.6467,0.3533,0.556,0.6725,0.0787,0.2,0.27,0.22
commons-dbutils-1.7,11,8,0,0,3,0.7273,0.8421,1.0,0.0,0.7273,0.2727,0.671,0.7916,0.0563,0.21,0.24,0.22
http-request,300,299,0,0,1,0.9967,0.9983,1.0,0.0,0.9967,0.0033,0.9914,0.9957,0.0053,0.19,0.4,0.25
commons-numbers-1.0-src,8003,7893,41,4,65,0.9868,0.9933,0.9948,0.058,0.9914,0.0086,0.9875,0.9937,-0.0007,0.17,0.26,0.22
commons-pool2-2.11.1-src,319,305,11,2,1,0.9624,0.9807,0.9652,0.6667,0.9906,0.0094,0.9849,0.9924,-0.0225,0.14,0.36,0.23
commons-beanutils-1.9.4,352,165,71,7,109,0.4886,0.6471,0.6992,0.0603,0.6705,0.3295,0.5232,0.5947,-0.0346,0.19,0.35,0.22
joda-time,2181,1794,91,47,249,0.8441,0.9134,0.9517,0.1588,0.8643,0.1357,0.8816,0.9367,-0.0375,0.18,0.26,0.21
spark,154,112,4,2,36,0.7403,0.8485,0.9655,0.0526,0.7532,0.2468,0.8595,0.924,-0.1192,0.23,0.25,0.23
JSON-java,373,304,15,1,53,0.8177,0.8994,0.953,0.0185,0.8552,0.1448,0.9681,0.9838,-0.1504,0.18,0.35,0.21
commons-collections4-4.4-src,9,2,6,0,1,0.2222,0.3636,0.25,0.0,0.8889,0.1111,0.7841,0.877,-0.5619,0.16,0.27,0.23
all,22716,20753,621,140,1202,0.9197,0.9579,0.9709,0.1043,0.9409,0.0591,0.8367,0.9103,0.083,0.16,0.29,0.22
