project,N,tp,fn,tn,fp,accuracy,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-dbutils-1.7,664,542,3,0,119,0.8163,0.8988,0.9945,0.0,0.8208,0.1792,0.671,0.7916,0.1453,0.3,0.47,0.41
commons-weaver-2.0-src,206,140,0,3,63,0.6942,0.8163,1.0,0.0455,0.6796,0.3204,0.554,0.6644,0.1402,0.32,0.45,0.38
commons-geometry-1.0-src,4622,3518,112,66,926,0.7754,0.8714,0.9691,0.0665,0.7854,0.2146,0.6444,0.7687,0.131,0.32,0.46,0.39
springside4,2521,1761,73,43,644,0.7156,0.8309,0.9602,0.0626,0.7275,0.2725,0.5907,0.7138,0.1249,0.26,0.37,0.32
commons-jexl3-3.2.1-src,2844,2163,32,12,637,0.7648,0.8661,0.9854,0.0185,0.7718,0.2282,0.6402,0.7635,0.1246,0.29,0.46,0.35
commons-jcs3-3.1-src,4099,3583,45,13,458,0.8773,0.9344,0.9876,0.0276,0.8851,0.1149,0.7645,0.8634,0.1128,0.31,0.4,0.36
commons-configuration2-2.8.0-src,1152,740,49,30,333,0.6684,0.7948,0.9379,0.0826,0.6849,0.3151,0.556,0.6725,0.1124,0.29,0.43,0.34
commons-net-3.8.0,3315,2142,61,44,1068,0.6594,0.7914,0.9723,0.0396,0.6646,0.3354,0.553,0.6624,0.1064,0.35,0.37,0.36
async-http-client,133,91,4,1,37,0.6917,0.8161,0.9579,0.0263,0.7143,0.2857,0.5854,0.7085,0.1063,0.36,0.46,0.42
bcel-6.5.0-src,14578,11743,529,281,2025,0.8248,0.9019,0.9569,0.1219,0.8418,0.1582,0.7215,0.8328,0.1033,0.3,0.45,0.36
commons-vfs-2.9.0,961,661,65,8,227,0.6961,0.8191,0.9105,0.034,0.7555,0.2445,0.6093,0.7321,0.0868,0.33,0.44,0.39
commons-rng-1.4-src,1598,1028,151,92,327,0.7009,0.8114,0.8719,0.2196,0.7378,0.2622,0.6177,0.7412,0.0832,0.32,0.41,0.36
scribejava,153,87,2,1,63,0.5752,0.728,0.9775,0.0156,0.5817,0.4183,0.4987,0.506,0.0765,0.31,0.44,0.37
commons-lang3-3.12.0-src,12038,10163,463,126,1286,0.8547,0.9208,0.9564,0.0892,0.8827,0.1173,0.7929,0.8829,0.0618,0.22,0.36,0.28
commons-imaging-1.0-alpha3-src,2256,1656,33,9,558,0.738,0.8486,0.9805,0.0159,0.7487,0.2513,0.6798,0.7998,0.0582,0.31,0.44,0.38
spark,3839,3494,41,16,288,0.9143,0.955,0.9884,0.0526,0.9208,0.0792,0.8595,0.924,0.0548,0.34,0.47,0.42
jsoup,7921,7289,140,14,478,0.922,0.9593,0.9812,0.0285,0.9379,0.0621,0.8801,0.936,0.0419,0.09,0.43,0.28
commons-validator-1.7,2552,1944,228,29,351,0.7731,0.8704,0.895,0.0763,0.8511,0.1489,0.7448,0.8496,0.0283,0.3,0.37,0.33
joda-time,18487,16426,308,136,1617,0.8959,0.9446,0.9816,0.0776,0.9052,0.0948,0.8816,0.9367,0.0143,0.27,0.44,0.38
JSON-java,10813,10594,23,6,190,0.9803,0.99,0.9978,0.0306,0.9819,0.0181,0.9681,0.9838,0.0122,0.23,0.49,0.42
commons-beanutils-1.9.4,1684,850,138,42,654,0.5297,0.6822,0.8603,0.0603,0.5867,0.4133,0.5232,0.5947,0.0065,0.26,0.42,0.31
commons-numbers-1.0-src,39033,38738,49,19,227,0.9929,0.9965,0.9987,0.0772,0.9937,0.0063,0.9875,0.9937,0.0054,0.27,0.29,0.28
http-request,3987,3960,10,0,17,0.9932,0.9966,0.9975,0.0,0.9957,0.0043,0.9914,0.9957,0.0018,0.27,0.43,0.35
commons-pool2-2.11.1-src,4375,3634,681,12,48,0.8334,0.9088,0.8422,0.2,0.9863,0.0137,0.9849,0.9924,-0.1515,0.25,0.43,0.38
commons-collections4-4.4-src,1116,369,608,31,108,0.3584,0.5076,0.3777,0.223,0.8754,0.1246,0.7841,0.877,-0.4257,0.43,0.42,0.42
all,144947,127316,3848,1034,12749,0.8855,0.9388,0.9707,0.075,0.9049,0.0951,0.8367,0.9103,0.0488,0.26,0.37,0.33
