project,N,tp,fn,tn,fp,accuracy,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-dbutils-1.7,676,541,4,0,131,0.8003,0.8891,0.9927,0.0,0.8062,0.1938,0.6703,0.7909,0.13,0.3,0.46,0.41
commons-weaver-2.0-src,210,140,0,3,67,0.681,0.8069,1.0,0.0429,0.6667,0.3333,0.5548,0.6629,0.1262,0.32,0.43,0.37
commons-jexl3-3.2.1-src,2866,2173,22,11,660,0.762,0.8644,0.99,0.0164,0.7659,0.2341,0.6397,0.7645,0.1223,0.27,0.45,0.34
springside4,2531,1759,77,32,663,0.7076,0.8262,0.9581,0.046,0.7254,0.2746,0.5954,0.7181,0.1122,0.25,0.35,0.3
commons-geometry-1.0-src,4680,3493,108,65,1014,0.7603,0.8616,0.97,0.0602,0.7694,0.2306,0.65,0.7733,0.1103,0.31,0.44,0.38
commons-jcs3-3.1-src,4149,3591,52,17,489,0.8696,0.9299,0.9857,0.0336,0.878,0.122,0.7645,0.8638,0.1051,0.31,0.39,0.35
commons-net-3.8.0,3327,2147,59,43,1078,0.6583,0.7906,0.9733,0.0384,0.6631,0.3369,0.5552,0.6661,0.1031,0.32,0.35,0.33
bcel-6.5.0-src,14767,11780,499,296,2192,0.8178,0.8975,0.9594,0.119,0.8315,0.1685,0.7207,0.8319,0.0971,0.28,0.44,0.35
commons-configuration2-2.8.0-src,1176,740,49,33,354,0.6573,0.786,0.9379,0.0853,0.6709,0.3291,0.5644,0.6782,0.0929,0.28,0.42,0.33
commons-rng-1.4-src,1609,1059,122,80,348,0.7079,0.8184,0.8967,0.1869,0.734,0.266,0.619,0.7413,0.0889,0.28,0.39,0.34
commons-vfs-2.9.0,977,655,71,11,240,0.6817,0.8081,0.9022,0.0438,0.7431,0.2569,0.604,0.7279,0.0777,0.33,0.43,0.38
async-http-client,140,91,4,1,44,0.6571,0.7913,0.9579,0.0222,0.6786,0.3214,0.5883,0.7115,0.0688,0.37,0.45,0.42
commons-lang3-3.12.0-src,12046,10214,412,84,1336,0.8549,0.9212,0.9612,0.0592,0.8821,0.1179,0.7925,0.8823,0.0624,0.2,0.35,0.27
commons-imaging-1.0-alpha3-src,2259,1655,34,7,563,0.7357,0.8472,0.9799,0.0123,0.7477,0.2523,0.6747,0.7958,0.061,0.3,0.43,0.37
scribejava,158,87,2,1,68,0.557,0.7131,0.9775,0.0145,0.5633,0.4367,0.5027,0.5064,0.0543,0.31,0.42,0.36
spark,3872,3497,40,20,315,0.9083,0.9517,0.9887,0.0597,0.9135,0.0865,0.8639,0.9265,0.0444,0.34,0.47,0.42
jsoup,7930,7289,137,14,490,0.9209,0.9588,0.9816,0.0278,0.9364,0.0636,0.8804,0.9361,0.0405,0.08,0.43,0.28
commons-validator-1.7,2560,1947,225,29,359,0.7719,0.8696,0.8964,0.0747,0.8484,0.1516,0.7497,0.8528,0.0222,0.28,0.36,0.32
joda-time,18505,16420,317,141,1627,0.8949,0.9441,0.9811,0.0798,0.9045,0.0955,0.8797,0.9357,0.0152,0.26,0.44,0.37
JSON-java,10813,10595,23,5,190,0.9803,0.99,0.9978,0.0256,0.982,0.018,0.9683,0.9839,0.012,0.22,0.49,0.42
commons-beanutils-1.9.4,1691,850,138,44,659,0.5287,0.6808,0.8603,0.0626,0.5843,0.4157,0.5195,0.5895,0.0092,0.24,0.4,0.29
commons-numbers-1.0-src,39036,38746,41,14,235,0.9929,0.9965,0.9989,0.0562,0.9936,0.0064,0.9871,0.9935,0.0058,0.16,0.29,0.25
http-request,3987,3960,10,0,17,0.9932,0.9966,0.9975,0.0,0.9957,0.0043,0.9912,0.9956,0.002,0.27,0.43,0.35
commons-pool2-2.11.1-src,4383,3634,681,13,55,0.8321,0.908,0.8422,0.1912,0.9845,0.0155,0.9844,0.9922,-0.1523,0.25,0.43,0.38
commons-collections4-4.4-src,1126,373,608,30,115,0.3579,0.5078,0.3802,0.2069,0.8712,0.1288,0.7784,0.8729,-0.4205,0.43,0.41,0.42
all,145474,127436,3735,994,13309,0.8828,0.9373,0.9715,0.0695,0.9017,0.0983,0.8367,0.9103,0.0461,0.22,0.37,0.31
