project,N,tp,fn,tn,fp,accuracy,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-weaver-2.0-src,23,19,0,0,4,0.8261,0.9048,1.0,0.0,0.8261,0.1739,0.554,0.6644,0.2721,0.19,0.32,0.23
commons-vfs-2.9.0,109,92,1,0,16,0.844,0.9154,0.9892,0.0,0.8532,0.1468,0.6093,0.7321,0.2347,0.21,0.25,0.22
commons-geometry-1.0-src,363,292,9,2,60,0.8099,0.8943,0.9701,0.0323,0.8292,0.1708,0.6444,0.7687,0.1655,0.18,0.29,0.22
commons-net-3.8.0,424,283,18,3,120,0.6745,0.804,0.9402,0.0244,0.7099,0.2901,0.553,0.6624,0.1215,0.2,0.22,0.21
scribejava,19,11,0,0,8,0.5789,0.7333,1.0,0.0,0.5789,0.4211,0.4987,0.506,0.0802,0.16,0.29,0.21
bcel-6.5.0-src,1414,1108,107,18,181,0.7963,0.885,0.9119,0.0905,0.8593,0.1407,0.7215,0.8328,0.0748,0.18,0.31,0.22
springside4,870,558,21,11,280,0.654,0.7876,0.9637,0.0378,0.6655,0.3345,0.5907,0.7138,0.0633,0.2,0.22,0.21
commons-lang3-3.12.0-src,4369,3680,99,29,561,0.8489,0.9177,0.9738,0.0492,0.865,0.135,0.7929,0.8829,0.056,0.15,0.27,0.19
jsoup,3546,3314,6,4,222,0.9357,0.9667,0.9982,0.0177,0.9363,0.0637,0.8801,0.936,0.0556,0.06,0.39,0.22
commons-configuration2-2.8.0-src,205,118,6,7,74,0.6098,0.7468,0.9516,0.0864,0.6049,0.3951,0.556,0.6725,0.0538,0.2,0.26,0.21
commons-validator-1.7,505,387,53,3,62,0.7723,0.8706,0.8795,0.0462,0.8713,0.1287,0.7448,0.8496,0.0275,0.17,0.27,0.2
commons-rng-1.4-src,250,156,20,4,70,0.64,0.7761,0.8864,0.0541,0.704,0.296,0.6177,0.7412,0.0223,0.17,0.29,0.2
commons-jexl3-3.2.1-src,218,144,0,0,74,0.6606,0.7956,1.0,0.0,0.6606,0.3394,0.6402,0.7635,0.0204,0.18,0.33,0.22
commons-jcs3-3.1-src,223,168,13,7,35,0.7848,0.875,0.9282,0.1667,0.8117,0.1883,0.7645,0.8634,0.0203,0.17,0.27,0.2
commons-numbers-1.0-src,18957,18794,36,6,121,0.9917,0.9958,0.9981,0.0472,0.9933,0.0067,0.9875,0.9937,0.0042,0.14,0.27,0.22
http-request,301,299,0,0,2,0.9934,0.9967,1.0,0.0,0.9934,0.0066,0.9914,0.9957,0.002,0.19,0.4,0.25
commons-pool2-2.11.1-src,319,305,11,0,3,0.9561,0.9776,0.9652,0.0,0.9906,0.0094,0.9849,0.9924,-0.0288,0.14,0.36,0.23
commons-dbutils-1.7,19,11,1,0,7,0.5789,0.7333,0.9167,0.0,0.6316,0.3684,0.671,0.7916,-0.0921,0.22,0.24,0.23
commons-beanutils-1.9.4,455,178,72,12,193,0.4176,0.5733,0.712,0.0585,0.5495,0.4505,0.5232,0.5947,-0.1056,0.19,0.34,0.22
commons-imaging-1.0-alpha3-src,173,97,7,1,68,0.5665,0.7212,0.9327,0.0145,0.6012,0.3988,0.6798,0.7998,-0.1133,0.22,0.27,0.24
joda-time,2523,1819,94,54,556,0.7424,0.8484,0.9509,0.0885,0.7582,0.2418,0.8816,0.9367,-0.1392,0.18,0.25,0.21
async-http-client,7,3,0,0,4,0.4286,0.6,1.0,0.0,0.4286,0.5714,0.5854,0.7085,-0.1568,0.13,0.29,0.23
JSON-java,391,309,15,1,66,0.7928,0.8841,0.9537,0.0149,0.8286,0.1714,0.9681,0.9838,-0.1753,0.17,0.34,0.21
spark,201,123,4,3,71,0.6269,0.7664,0.9685,0.0405,0.6318,0.3682,0.8595,0.924,-0.2326,0.21,0.23,0.22
commons-collections4-4.4-src,17,2,6,0,9,0.1176,0.2105,0.25,0.0,0.4706,0.5294,0.7841,0.877,-0.6665,0.2,0.25,0.23
all,35901,32270,599,165,2867,0.9035,0.949,0.9818,0.0544,0.9155,0.0845,0.8367,0.9103,0.0668,0.15,0.28,0.22
